pressure: 1015.933, temp: -0.3053938,  time: 5807.87
pressure: 1016.219, temp: -0.2858099,  time: 5821.554
pressure: 1015.933, temp: -0.3053938,  time: 5835.247
pressure: 1015.646, temp: -0.3249807,  time: 5848.964
pressure: 1015.646, temp: -0.3249807,  time: 5862.709
pressure: 1016.181, temp: -0.3053938,  time: 5876.402
pressure: 1016.143, temp: -0.3249807,  time: 5890.093
pressure: 1015.646, temp: -0.3249807,  time: 5903.802
pressure: 1015.933, temp: -0.3053938,  time: 5917.491
pressure: 1016.105, temp: -0.3445683,  time: 5931.181
pressure: 1015.857, temp: -0.3445683,  time: 5944.951
pressure: 1015.646, temp: -0.3249807,  time: 5958.63
pressure: 1015.646, temp: -0.3249807,  time: 5972.329
pressure: 1015.933, temp: -0.3053938,  time: 5986.019
pressure: 1015.894, temp: -0.3249807,  time: 5999.707
pressure: 1015.894, temp: -0.3249807,  time: 6013.456
pressure: 1015.933, temp: -0.3053938,  time: 6027.156
pressure: 1015.894, temp: -0.3249807,  time: 6040.873
pressure: 1015.722, temp: -0.2858099,  time: 6054.566
pressure: 1015.933, temp: -0.3053938,  time: 6068.286
pressure: 1015.646, temp: -0.3249807,  time: 6081.985
pressure: 1015.894, temp: -0.3249807,  time: 6095.721
pressure: 1015.397, temp: -0.3249807,  time: 6109.488
pressure: 1015.36, temp: -0.3445683,  time: 6123.208
pressure: 1015.722, temp: -0.2858099,  time: 6136.895
pressure: 1015.971, temp: -0.2858099,  time: 6150.469
pressure: 1016.143, temp: -0.3249807,  time: 6164.047
pressure: 1015.894, temp: -0.3249807,  time: 6177.502
pressure: 1015.933, temp: -0.3053938,  time: 6191.002
pressure: 1015.646, temp: -0.3249807,  time: 6204.479
pressure: 1015.436, temp: -0.3053938,  time: 6217.959
pressure: 1015.933, temp: -0.3053938,  time: 6231.481
pressure: 1016.143, temp: -0.3249807,  time: 6244.962
pressure: 1015.608, temp: -0.3445683,  time: 6258.463
pressure: 1016.143, temp: -0.3249807,  time: 6271.956
pressure: 1015.933, temp: -0.3053938,  time: 6285.456
pressure: 1016.181, temp: -0.3053938,  time: 6298.948
pressure: 1015.857, temp: -0.3445683,  time: 6312.431
pressure: 1015.933, temp: -0.3053938,  time: 6325.943
pressure: 1015.608, temp: -0.3445683,  time: 6339.445
pressure: 1015.857, temp: -0.3445683,  time: 6352.995
pressure: 1016.105, temp: -0.3445683,  time: 6366.563
pressure: 1016.43, temp: -0.3053938,  time: 6380.081
pressure: 1016.181, temp: -0.3053938,  time: 6393.595
pressure: 1015.684, temp: -0.3053938,  time: 6407.069
pressure: 1015.933, temp: -0.3053938,  time: 6420.606
pressure: 1016.143, temp: -0.3249807,  time: 6434.094
pressure: 1015.933, temp: -0.3053938,  time: 6447.61
pressure: 1016.181, temp: -0.3053938,  time: 6461.066
pressure: 1015.608, temp: -0.3445683,  time: 6474.575
pressure: 1016.43, temp: -0.3053938,  time: 6488.027
pressure: 1015.894, temp: -0.3249807,  time: 6501.486
pressure: 1016.354, temp: -0.3445683,  time: 6514.939
